Depth (ft),Density (g/cm^3),Overburden stress (psi),Hydrostatic pore pressure (psi),Overburden gradient (psi/ft),Porosity (-)
615,1,269.5854243,270.6,0.438350283,1
616,1,270.0237746,271.04,0.438350283,1
617,1,270.4621249,271.48,0.438350283,1
618,1,270.9004751,271.92,0.438350283,1
619,1,271.3388254,272.36,0.438350283,1
620,1,271.7771757,272.8,0.438350283,1
621,1,272.215526,273.24,0.438350283,1
622,1,272.6538763,273.68,0.438350283,1
623,1,273.0922266,274.12,0.438350283,1
624,1,273.5305768,274.56,0.438350283,1
625,1,273.9689271,275,0.438350283,1
626,1,274.4072774,275.44,0.438350283,1
627,1,274.8456277,275.88,0.438350283,1
628,1,275.283978,276.32,0.438350283,1
629,1,275.7223283,276.76,0.438350283,1
630,1,276.1606785,277.2,0.438350283,1
631,1,276.5990288,277.64,0.438350283,1
