Depth (ft),Sv (psi)
5396.5,6065.134751
5397,6065.709001
5397.5,6066.287426
5398,6066.867535
5398.5,6067.444675
5399,6068.021162
5399.5,6068.598192
5400,6069.175664
5400.5,6069.753004
5401,6070.330576
5401.5,6070.909921
5402,6071.489254
5402.5,6072.067845
5403,6072.645617
5403.5,6073.222912
5404,6073.799698
5404.5,6074.374535
5405,6074.946659
5405.5,6075.519746
5406,6076.094682
5406.5,6076.66819
5407,6077.242207
5407.5,6077.811927
5408,6078.381138
5408.5,6078.953594
5409,6079.522439
5409.5,6080.094108
5410,6080.669975
5410.5,6081.244956
5411,6081.816924
5411.5,6082.387353
5412,6082.957549
5412.5,6083.524733
5413,6084.093158
5413.5,6084.66568
5414,6085.235156
5414.5,6085.798065
5415,6086.360986
5415.5,6086.922034
5416,6087.4812
5416.5,6088.046545
5417,6088.61827
5417.5,6089.191058
5418,6089.758441
5418.5,6090.321372
5419,6090.882598
5419.5,6091.446603
5420,6092.029979
5420.5,6092.639802
5421,6093.259094
5421.5,6093.864963
5422,6094.44825
5422.5,6095.030817
5423,6095.629088
5423.5,6096.235024
5424,6096.837592
5424.5,6097.430747
5425,6098.019483
5425.5,6098.585903
5426,6099.147416
5426.5,6099.74056
5427,6100.348755
5427.5,6100.955133
5428,6101.55222
5428.5,6102.141255
5429,6102.730799
5429.5,6103.319934
5430,6103.907462
5430.5,6104.494748
5431,6105.080704
5431.5,6105.662728
5432,6106.239547
5432.5,6106.817707
5433,6107.402134
5433.5,6107.986651
5434,6108.570658
5434.5,6109.155263
5435,6109.737276
5435.5,6110.31981
5436,6110.904348
5436.5,6111.491467
5437,6112.07728
5437.5,6112.660256
5438,6113.24176
5438.5,6113.819443
5439,6114.389407
5439.5,6114.961664
5440,6115.542049
5440.5,6116.119245
5441,6116.694248
5441.5,6117.268354
5442,6117.845372
5442.5,6118.421471
5443,6118.997283
5443.5,6119.570447
5444,6120.140511
5444.5,6120.71991
5445,6121.296165
5445.5,6121.862551
5446,6122.428905
5446.5,6122.993973
5447,6123.556894
5447.5,6124.131476
5448,6124.715095
5448.5,6125.290408
5449,6125.861092
5449.5,6126.432274
5450,6127.001473
5450.5,6127.57518
5451,6128.146451
5451.5,6128.705129
5452,6129.266643
5452.5,6129.838567
5453,6130.414434
5453.5,6130.982925
5454,6131.54796
5454.5,6132.121357
5455,6132.690424
5455.5,6133.253134
5456,6133.802398
5456.5,6134.362882
5457,6134.942769
5457.5,6135.511481
5458,6136.077646
5458.5,6136.649039
5459,6137.205879
5459.5,6137.751987
5460,6138.309059
5460.5,6138.872589
5461,6139.442065
5461.5,6140.031953
5462,6140.6342
5462.5,6141.231209
5463,6141.826568
5463.5,6142.42237
5464,6143.021948
5464.5,6143.625646
5465,6144.231349
5465.5,6144.837417
5466,6145.440795
5466.5,6146.043119
5467,6146.644359
5467.5,6147.245698
5468,6147.850116
5468.5,6148.454712
5469,6149.05728
5469.5,6149.659074
5470,6150.260668
5470.5,6150.859316
5471,6151.456668
5471.5,6152.053256
5472,6152.650132
5472.5,6153.250087
5473,6153.845778
5473.5,6154.436275
5474,6155.029042
5474.5,6155.621721
5475,6156.216382
5475.5,6156.816647
5476,6157.412726
5476.5,6158.000575
5477,6158.587916
5477.5,6159.176696
5478,6159.764469
5478.5,6160.354733
5479,6160.947965
5479.5,6161.540865
5480,6162.130011
5480.5,6162.714372
5481,6163.295976
5481.5,6163.875564
5482,6164.455396
5482.5,6165.037586
5483,6165.619888
5483.5,6166.205777
5484,6166.796983
5484.5,6167.389761
5485,6167.977489
5485.5,6168.557797
5486,6169.139434
5486.5,6169.720174
5487,6170.298333
5487.5,6170.882008
5488,6171.470577
5488.5,6172.057143
5489,6172.64074
5489.5,6173.22519
5490,6173.810216
5490.5,6174.393536
5491,6174.976391
5491.5,6175.559545
5492,6176.141802
5492.5,6176.720914
5493,6177.301742
5493.5,6177.886768
5494,6178.475271
5494.5,6179.064373
5495,6179.646696
5495.5,6180.219739
5496,6180.791054
5496.5,6181.365392
5497,6181.938789
5497.5,6182.512208
5498,6183.085694
5498.5,6183.659866
5499,6184.235844
5499.5,6184.814147
5500,6185.391332
5500.5,6185.967575
5501,6186.545413
5501.5,6187.123551
5502,6187.704667
5502.5,6188.287389
5503,6188.837462
5503.5,6189.364588
5504,6189.895833
5504.5,6190.41153
5505,6190.921279
5505.5,6191.439511
5506,6191.976715
5506.5,6192.531119
5507,6193.073949
5507.5,6193.598804
5508,6194.128145
5508.5,6194.672669
5509,6195.224758
5509.5,6195.785153
5510,6196.349103
5510.5,6196.923275
5511,6197.470956
5511.5,6198.008404
5512,6198.582798
5512.5,6199.16315
5513,6199.744698
5513.5,6200.330089
5514,6200.921971
5514.5,6201.524938
5515,6202.130375
5515.5,6202.728879
5516,6203.328745
5516.5,6203.931015
5517,6204.528123
5517.5,6205.102772
5518,6205.667652
5518.5,6206.249732
5519,6206.837482
5519.5,6207.427625
5520,6208.017413
5520.5,6208.598862
5521,6209.171594
5521.5,6209.747837
5522,6210.32407
5522.5,6210.885705
5523,6211.450774
5523.5,6212.039465
5524,6212.639465
5524.5,6213.233428
5525,6213.82233
5525.5,6214.406359
5526,6214.986368
5526.5,6215.571416
5527,6216.166265
5527.5,6216.767959
5528,6217.367338
5528.5,6217.963583
5529,6218.560868
5529.5,6219.155319
5530,6219.745317
5530.5,6220.325359
5531,6220.895091
5531.5,6221.460846
5532,6222.026468
5532.5,6222.597307
5533,6223.172653
5533.5,6223.752264
5534,6224.340479
5534.5,6224.929481
5535,6225.519379
5535.5,6226.115968
5536,6226.712622
5536.5,6227.305223
5537,6227.895067
5537.5,6228.482241
5538,6229.066879
5538.5,6229.648815
5539,6230.22497
5539.5,6230.810184
5540,6231.409131
5540.5,6232.001798
5541,6232.587356
5541.5,6233.172404
5542,6233.756444
5542.5,6234.337184
5543,6234.918211
5543.5,6235.506061
5544,6236.092615
5544.5,6236.675415
5545,6237.261172
5545.5,6237.844802
5546,6238.426583
5546.5,6239.006647
5547,6239.584131
5547.5,6240.160662
5548,6240.738456
5548.5,6241.317623
5549,6241.893922
5549.5,6242.465868
5550,6243.039188
5550.5,6243.62047
5551,6244.204189
5551.5,6244.786092
5552,6245.362933
5552.5,6245.936928
5553,6246.515243
5553.5,6247.091298
5554,6247.662203
5554.5,6248.234293
5555,6248.809927
5555.5,6249.394023
5556,6249.976258
5556.5,6250.550917
5557,6251.095597
5557.5,6251.625846
5558,6252.190516
5558.5,6252.776505
5559,6253.361542
5559.5,6253.944275
5560,6254.521094
5560.5,6255.097947
5561,6255.684224
5561.5,6256.267135
5562,6256.841573
5562.5,6257.415302
5563,6257.993993
5563.5,6258.576781
5564,6259.158828
5564.5,6259.735592
5565,6260.311891
5565.5,6260.890858
5566,6261.468442
